Temperature (K)	Pressure (bar)	Density (l, mol/l)	Volume (l, l/mol)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, mol/l)	Volume (v, l/mol)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
118.20	10.967	29.490	0.033910	-3.2624	-3.2252	68.988	18.384	52.175	600.17	-0.0073066	115.13	0.085474	0.0054356	1.3599	0.73536	1.1373	1.9437	112.72	15.339	33.082	184.88	1.8231	10.311	0.0088553
118.30	11.029	29.469	0.033934	-3.2574	-3.2200	69.030	18.378	52.231	599.29	-0.0071030	114.85	0.085343	0.0054147	1.3677	0.73118	1.1369	1.9433	112.68	15.350	33.155	184.89	1.8199	10.324	0.0088713
118.40	11.092	29.448	0.033958	-3.2524	-3.2147	69.073	18.372	52.286	598.41	-0.0068983	114.57	0.085212	0.0053938	1.3755	0.72703	1.1364	1.9428	112.63	15.362	33.227	184.90	1.8167	10.336	0.0088874
118.50	11.155	29.427	0.033982	-3.2474	-3.2095	69.115	18.366	52.342	597.53	-0.0066925	114.30	0.085081	0.0053729	1.3833	0.72290	1.1360	1.9423	112.59	15.373	33.301	184.92	1.8136	10.348	0.0089036
118.60	11.218	29.406	0.034006	-3.2424	-3.2042	69.158	18.360	52.398	596.65	-0.0064856	114.02	0.084951	0.0053520	1.3912	0.71881	1.1355	1.9418	112.55	15.385	33.374	184.93	1.8104	10.361	0.0089198
118.70	11.281	29.385	0.034031	-3.2373	-3.1989	69.200	18.354	52.455	595.77	-0.0062775	113.75	0.084820	0.0053312	1.3991	0.71474	1.1350	1.9413	112.51	15.397	33.449	184.94	1.8073	10.374	0.0089360
118.80	11.345	29.364	0.034055	-3.2323	-3.1937	69.243	18.349	52.511	594.88	-0.0060683	113.48	0.084689	0.0053104	1.4071	0.71069	1.1345	1.9408	112.46	15.409	33.523	184.95	1.8041	10.386	0.0089524
118.90	11.409	29.343	0.034080	-3.2273	-3.1884	69.285	18.343	52.569	594.00	-0.0058580	113.20	0.084559	0.0052896	1.4151	0.70668	1.1341	1.9403	112.42	15.420	33.599	184.97	1.8010	10.399	0.0089688
119.00	11.473	29.322	0.034104	-3.2223	-3.1831	69.328	18.337	52.626	593.11	-0.0056465	112.93	0.084428	0.0052688	1.4231	0.70269	1.1336	1.9398	112.38	15.432	33.674	184.98	1.7979	10.411	0.0089853
119.10	11.538	29.301	0.034129	-3.2172	-3.1778	69.370	18.331	52.685	592.22	-0.0054339	112.66	0.084298	0.0052480	1.4312	0.69873	1.1331	1.9393	112.34	15.444	33.751	184.99	1.7947	10.424	0.0090019
