Temperature (K)	Pressure (bar)	Density (l, g/ml)	Volume (l, ml/g)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/bar)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, g/ml)	Volume (v, ml/g)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/bar)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
111.70	7.4227	1.2299	0.81306	-89.632	-89.028	1.6573	0.47134	1.2325	655.34	-0.018502	134.72	0.094110	0.0068274	0.036997	27.029	28.853	48.915	2.8923	0.36714	0.73187	183.53	2.0414	9.5518	0.0079391
111.80	7.4699	1.2292	0.81356	-89.511	-88.904	1.6584	0.47115	1.2335	654.52	-0.018356	134.39	0.093976	0.0068055	0.037225	26.864	28.851	48.918	2.8912	0.36737	0.73308	183.56	2.0378	9.5629	0.0079516
111.90	7.5174	1.2284	0.81407	-89.391	-88.779	1.6595	0.47095	1.2344	653.70	-0.018209	134.06	0.093841	0.0067837	0.037454	26.699	28.850	48.921	2.8901	0.36760	0.73430	183.59	2.0343	9.5740	0.0079642
112.00	7.5650	1.2276	0.81458	-89.271	-88.655	1.6606	0.47076	1.2353	652.87	-0.018062	133.73	0.093706	0.0067618	0.037684	26.536	28.848	48.923	2.8890	0.36784	0.73553	183.61	2.0307	9.5851	0.0079768
112.10	7.6129	1.2269	0.81509	-89.151	-88.530	1.6617	0.47057	1.2363	652.05	-0.017914	133.41	0.093572	0.0067400	0.037915	26.374	28.847	48.925	2.8878	0.36807	0.73677	183.64	2.0272	9.5962	0.0079895
112.20	7.6610	1.2261	0.81560	-89.030	-88.405	1.6627	0.47039	1.2372	651.22	-0.017765	133.08	0.093437	0.0067181	0.038148	26.214	28.845	48.927	2.8867	0.36831	0.73801	183.67	2.0236	9.6073	0.0080022
112.30	7.7093	1.2253	0.81611	-88.910	-88.280	1.6638	0.47020	1.2382	650.40	-0.017616	132.76	0.093303	0.0066963	0.038381	26.054	28.843	48.929	2.8856	0.36854	0.73926	183.69	2.0201	9.6184	0.0080149
112.40	7.7578	1.2246	0.81662	-88.789	-88.156	1.6649	0.47001	1.2392	649.57	-0.017466	132.44	0.093168	0.0066745	0.038616	25.896	28.841	48.930	2.8845	0.36878	0.74052	183.72	2.0165	9.6296	0.0080277
112.50	7.8065	1.2238	0.81714	-88.668	-88.031	1.6660	0.46982	1.2401	648.74	-0.017315	132.12	0.093034	0.0066528	0.038852	25.739	28.838	48.932	2.8834	0.36902	0.74178	183.74	2.0130	9.6408	0.0080406
112.60	7.8555	1.2230	0.81765	-88.548	-87.905	1.6670	0.46963	1.2411	647.92	-0.017163	131.79	0.092900	0.0066310	0.039088	25.583	28.836	48.933	2.8823	0.36925	0.74306	183.77	2.0095	9.6520	0.0080534
